Tipo de documento,Numero,Estado,Fecha,Titulo,ID PDF
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 528 / 2025,Autorizado,30/12/2025,LLAMADO A CONCURSO PARA CUBRIR CARGOS DE AYUDANTES DE SEGUNDA RENTADO - DIVISION COMPUTACION,7a211711
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 527 / 2025,Autorizado,30/12/2025,PROGRAMA COMPILADORES (11809) - OPTATIVA - VIGENCIA 2026-2027 PARA LA CARRERA LICENCIATURA EN SISTEMAS DE INFORMACION,e4141c97
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 526 / 2025,Autorizado,30/12/2025,PROGRAMA (11287) SEMINARIO DE INTEGRACION PROFESIONAL VIGENCIA 2026 PARA LA CARRERA LICENCIATURA EN SISTEMAS DE INFORMACION,178e612b
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 525 / 2025,Autorizado,30/12/2025,PROGRAMA (11087) SEMINARIO DE INTEGRACION PROFESIONAL VIGENCIA 2025-2026 PARA LA CARRERA LICENCIATURA EN SISTEMAS DE INFORMACION,c4de5eb3
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 524 / 2025,Autorizado,30/12/2025,PROGRAMA (13909) FISICA II VIGENCIA 2025-2026 PARA LAS CARRERAS INGENIERIA EN ALIMENTOS E INGENIERIA INDUSTRIAL,793ffca9
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 523 / 2025,Autorizado,30/12/2025,PROGRAMA (13017) INTRODUCCION A LA QUIMICA VIGENCIA 2025-2026 PARA LAS CARRERAS INGENIERIA EN ALIMENTOS - INGENIERIA INDUSTRIAL Y PROFESORADO UNIVERSITARIO EN QUIMICA,9ad15af8
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 522 / 2025,Autorizado,30/12/2025,PROGRAMA (15907) ANALISIS FUNCIONAL VIGENCIA 2025-2026 PARA LA CARRERA LICENCIATURA EN MATEMATICA,776b77a9
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 521 / 2025,Autorizado,30/12/2025,PROGRAMA (15908) GEOMETRIA DIFERENCIAL VIGENCIA 2025-2026 PARA LA CARRERA LICENCIATURA EN MATEMATICA,150a5439
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 520 / 2025,Autorizado,30/12/2025,PROGRAMA (15909) MODELOS MATEMATICOS VIGENCIA 2025-2026 PARA LA CARRERA LICENCIATURA EN MATEMATICA,43008964
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 519 / 2025,Autorizado,30/12/2025,PROGRAMA ACTIVIDAD ACADEMICA (15910) TALLER DE TRABAJO DE INVESTIGACION FINAL VIGENCIA 2025-2026 PARA LA CARRERA LICENCIATURA EN MATEMATICA,1a635aff
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 518 / 2025,Autorizado,30/12/2025,PROGRAMA DE LA ACTIVIDAD ACADEMICA (10904) QUIMICA ANALITICA I VIGENCIA 2025-2026 PARA LA CARRERA INGENIERIA EN ALIMENTOS,afa49305
RESOLUCIÓN DE ASAMBLEA UNIVERSITARIA,RAU : 1 / 2025,Autorizado,30/12/2025,EXP 1501/2025. DESIGNACION MIEMBROS DE LA PRESIDENCIA ASAMBLEA UNIVERSITARIA 2025-2027,27c4344f
RESOLUCIÓN DE ASAMBLEA UNIVERSITARIA,RAU : 1 / 2025,Autorizado,30/12/2025,EXP 1501/2025. DESIGNACION MIEMBROS DE LA PRESIDENCIA ASAMBLEA UNIVERSITARIA 2025-2027,085f4533
RESOLUCIÓN DE ASAMBLEA UNIVERSITARIA,RAU : 1 / 2025,Autorizado,30/12/2025,EXP 1501/2025. DESIGNACION MIEMBROS DE LA PRESIDENCIA ASAMBLEA UNIVERSITARIA 2025-2027,70fa1cdc
