Tipo de documento,Numero,Estado,Fecha,Titulo,ID PDF,Archivo,sha256,id_archivo,id_documento,URL,Seccion,Codigo,Nro,Anio,Organismo,Fecha acto
DISPOSICIÓN SECRETARÍA ACADÉMICA,DISPSEACAD : 1270 / 2025,Autorizado,30/12/2025,EXPEDIENTE 898-2025. MODIFICACION CALENDARIO ACADEMICO 2026.,1,DISPSEACAD_1270_2025.pdf,,79ee7195-2b7c-4de0-b9bb-07a613f1555c,a3615dc4-2f94-4e54-acb7-bd2a51d5ec0e,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/79ee7195-2b7c-4de0-b9bb-07a613f1555c?id_archivo=79ee7195-2b7c-4de0-b9bb-07a613f1555c&id_documento=a3615dc4-2f94-4e54-acb7-bd2a51d5ec0e,SECRETARIAS DE RECTORADO,DISPSEACAD,1270,2025,UNLu,30/12/2025
DISPOSICIÓN SECRETARÍA ACADÉMICA,DISPSEACAD : 1269 / 2025,Autorizado,30/12/2025,ACTDT 79/2025 TRABICHET FLORENCIA CECILIA - CARRERA DOCENTE - REVALIDA EN UN CARGO ORDINARIO DE JEFA DE TRABAJOS PRACTICOS CON DEDICACION SEMIEXCLUSIVA EN LA DIVISION AGRONOMIA BASICA - DEPARTAMENTO DE TECNOLOGIA,2,DISPSEACAD_1269_2025.pdf,,e76b0d91-a9bb-48d0-bc7b-e341b5ae171d,87f7b290-7801-4218-9f39-4bd745a73f1c,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/e76b0d91-a9bb-48d0-bc7b-e341b5ae171d?id_archivo=e76b0d91-a9bb-48d0-bc7b-e341b5ae171d&id_documento=87f7b290-7801-4218-9f39-4bd745a73f1c,SECRETARIAS DE RECTORADO,DISPSEACAD,1269,2025,UNLu,30/12/2025
DISPOSICIÓN SECRETARÍA ACADÉMICA,DISPSEACAD : 1268 / 2025,Autorizado,30/12/2025,ACTDT 117/2025 CAVALLERO MARISA MIRIAN - CARRERA DOCENTE - REVALIDA EN UN CARGO ORDINARIO DE JEFA DE TRABAJOS PRACTICOS CON DEDICACION EXCLUSIVA EN LA DIVISION TECNOLOGIA AGROPECUARIA - DEPARTAMENTO DE TECNOLOGIA,3,DISPSEACAD_1268_2025.pdf,,e5e8f54c-5556-4927-a917-4ff60460f1e0,fb5b5450-0bf7-4a79-8aa7-14d162401df3,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/e5e8f54c-5556-4927-a917-4ff60460f1e0?id_archivo=e5e8f54c-5556-4927-a917-4ff60460f1e0&id_documento=fb5b5450-0bf7-4a79-8aa7-14d162401df3,SECRETARIAS DE RECTORADO,DISPSEACAD,1268,2025,UNLu,30/12/2025
DISPOSICIÓN SECRETARÍA ACADÉMICA,DISPSEACAD : 1267 / 2025,Autorizado,30/12/2025,"ACTDT 118/2025. LIO, GUILLERMO GUSTAVO - LEGAJO 5327 - DESIGNACION EN UN CARGO ORDINARIO DE PROFESOR ADJUNTO CON DEDICACION SEMIEXCLUSIVA. DIVISION TECNOLOGIAS INDUSTRIALES. DEPARTAMENTO DE  TECNOLOGIA",4,DISPSEACAD_1267_2025.pdf,,ffbf83c8-d682-49cb-a3e5-821be67bd565,a8ce8539-18f9-49c4-898e-427da0e3c600,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/ffbf83c8-d682-49cb-a3e5-821be67bd565?id_archivo=ffbf83c8-d682-49cb-a3e5-821be67bd565&id_documento=a8ce8539-18f9-49c4-898e-427da0e3c600,SECRETARIAS DE RECTORADO,DISPSEACAD,1267,2025,UNLu,30/12/2025
DISPOSICIÓN SECRETARÍA ACADÉMICA,DISPSEACAD : 1266 / 2025,Autorizado,30/12/2025,"ACTDB 78/2025. SAKELLAROPOULOS SIMON, NADIA - LEGAJO 3984 - DESIGNACION EN UN VARGO INTERINO DE JEFA DE TRABAJOS PRACTIVOS. DEDICACION SIMPLE. DIVISION BIOLOGIA. DEPARTAMENTO DE CIENCIAS BASICAS.",5,DISPSEACAD_1266_2025.pdf,,5daa8d44-fbd8-4ac8-9ff4-7607f78d6ebb,3add364b-3f30-44f8-9e2a-fb23f0dd224c,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/5daa8d44-fbd8-4ac8-9ff4-7607f78d6ebb?id_archivo=5daa8d44-fbd8-4ac8-9ff4-7607f78d6ebb&id_documento=3add364b-3f30-44f8-9e2a-fb23f0dd224c,SECRETARIAS DE RECTORADO,DISPSEACAD,1266,2025,UNLu,30/12/2025
DISPOSICIÓN SECRETARÍA ACADÉMICA,DISPSEACAD : 1265 / 2025,Autorizado,29/12/2025,"ACTUACION DE DESIGNACION DEL DEPTO. DE TECNOLOGIA 119/2025. TORRES, MARIA INES. DESIGNACIÓN EN UN CARGO ORDINARIO DE JEFA DE TRABAJOS PRACTICOS.",6,DISPSEACAD_1265_2025.pdf,,99eb405d-8f2e-41b6-b1a9-69f2c3f72b77,e31e45e6-a708-4779-9b79-75671bb5760c,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/99eb405d-8f2e-41b6-b1a9-69f2c3f72b77?id_archivo=99eb405d-8f2e-41b6-b1a9-69f2c3f72b77&id_documento=e31e45e6-a708-4779-9b79-75671bb5760c,SECRETARIAS DE RECTORADO,DISPSEACAD,1265,2025,UNLu,29/12/2025
DISPOSICIÓN SECRETARÍA ACADÉMICA,DISPSEACAD : 1264 / 2025,Autorizado,17/12/2025,EXPP 1546/2015 BARNETO SILVERIO JUAN - CARRERA DOCENTE. INTEGRACION DE LA COMISION EVALUADORA - CARGO ORDINARIO DE JEFE DE TRABAJOS PRACTICOS CON DEDICACION EXCLUSIVA EN LA DISCIPLINA PLANEAMIENTO DE AGROSISTEMAS Y ESPACIOS VERDES DE LA DIVISION AGRONOMIA BASICA - DEPARTAMENTO DE TECNOLOGIA,7,DISPSEACAD_1264_2025.pdf,,e912353c-c299-4657-abba-b85a02e8eb91,fefb51e0-2361-4339-a8c5-a9d6e331a5fc,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/e912353c-c299-4657-abba-b85a02e8eb91?id_archivo=e912353c-c299-4657-abba-b85a02e8eb91&id_documento=fefb51e0-2361-4339-a8c5-a9d6e331a5fc,SECRETARIAS DE RECTORADO,DISPSEACAD,1264,2025,UNLu,17/12/2025
DISPOSICIÓN SECRETARÍA ACADÉMICA,DISPSEACAD : 1263 / 2025,Autorizado,17/12/2025,EXPP 762/2022 DE MAROTTE MARIA - CARRERA DOCENTE. INTEGRACION DE LA COMISION EVALUADORA  REVALIDA CARGO ORDINARIO DE AYUDANTE DE PRIMERA CON DEDICACION SIMPLE.  DISCIPLINA PLANEAMIENTO DE AGROSISTEMAS Y ESPACIOS VERDES. DIVISION AGRONOMIA BASICA - DEPARTAMENTO DE TECNOLOGIA,8,DISPSEACAD_1263_2025.pdf,,fead1cf7-52d7-4a80-a0c6-4af6c37016ee,de7e2fb8-4dd3-4f16-aedd-98211f924f65,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/fead1cf7-52d7-4a80-a0c6-4af6c37016ee?id_archivo=fead1cf7-52d7-4a80-a0c6-4af6c37016ee&id_documento=de7e2fb8-4dd3-4f16-aedd-98211f924f65,SECRETARIAS DE RECTORADO,DISPSEACAD,1263,2025,UNLu,17/12/2025
DISPOSICIÓN SECRETARÍA ACADÉMICA,DISPSEACAD : 1262 / 2025,Autorizado,17/12/2025,TRAMITE INTERNO 2340-2025. CAPURRO FACUNDO AUTORIZACION DEFENSA DE TRABAJO FINAL GRADUACION LICENCIATURA EN EDUCACION FISICA EN MODALIDAD REMOTA,9,DISPSEACAD_1262_2025.pdf,,0cfa8104-6b39-4592-b925-58abfde33dac,dd5d2bb2-534b-4fd1-8c89-1087e1c0e496,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/0cfa8104-6b39-4592-b925-58abfde33dac?id_archivo=0cfa8104-6b39-4592-b925-58abfde33dac&id_documento=dd5d2bb2-534b-4fd1-8c89-1087e1c0e496,SECRETARIAS DE RECTORADO,DISPSEACAD,1262,2025,UNLu,17/12/2025
DISPOSICIÓN SECRETARÍA ACADÉMICA,DISPSEACAD : 1261 / 2025,Autorizado,17/12/2025,TRAMITE INTERNO 23127-2025. CONVOCATORIA PIR 2024 - REMANENTE DICIEMBRE,10,DISPSEACAD_1261_2025.pdf,,d1703710-4158-4993-9146-064c0bd1865d,2e65da66-f905-4318-86eb-3db8137de77d,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/d1703710-4158-4993-9146-064c0bd1865d?id_archivo=d1703710-4158-4993-9146-064c0bd1865d&id_documento=2e65da66-f905-4318-86eb-3db8137de77d,SECRETARIAS DE RECTORADO,DISPSEACAD,1261,2025,UNLu,17/12/2025
