Tipo de documento,Numero,Estado,Fecha,Titulo,ID PDF,Archivo,sha256,id_archivo,id_documento,URL,Seccion,Codigo,Nro,Anio,Organismo,Fecha acto
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 528 / 2025,Autorizado,30/12/2025,LLAMADO A CONCURSO PARA CUBRIR CARGOS DE AYUDANTES DE SEGUNDA RENTADO - DIVISION COMPUTACION,1,DISPCD-CB_528_2025.pdf,,fb76807a-4f1c-45f5-a101-d53d94013b50,bbb49683-f596-4b74-9726-fd4ebdc7a71a,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/fb76807a-4f1c-45f5-a101-d53d94013b50?id_archivo=fb76807a-4f1c-45f5-a101-d53d94013b50&id_documento=bbb49683-f596-4b74-9726-fd4ebdc7a71a,DEPARTAMENTO DE CIENCIAS BÁSICAS,DISPCD-CB,528,2025,UNLu,29/12/2025
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 527 / 2025,Autorizado,30/12/2025,PROGRAMA COMPILADORES (11809) - OPTATIVA - VIGENCIA 2026-2027 PARA LA CARRERA LICENCIATURA EN SISTEMAS DE INFORMACION,2,DISPCD-CB_527_2025.pdf,,5bc57302-9f59-41f9-bd8f-3d40673441d3,f7539c2f-03f1-4f22-a47e-1b9be92837c9,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/5bc57302-9f59-41f9-bd8f-3d40673441d3?id_archivo=5bc57302-9f59-41f9-bd8f-3d40673441d3&id_documento=f7539c2f-03f1-4f22-a47e-1b9be92837c9,DEPARTAMENTO DE CIENCIAS BÁSICAS,DISPCD-CB,527,2025,UNLu,29/12/2025
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 526 / 2025,Autorizado,30/12/2025,PROGRAMA (11287) SEMINARIO DE INTEGRACION PROFESIONAL VIGENCIA 2026 PARA LA CARRERA LICENCIATURA EN SISTEMAS DE INFORMACION,3,DISPCD-CB_526_2025.pdf,,a4137810-cf03-4060-a603-a796427fe8e2,135520ad-d5e5-4c1a-b548-61c75285e714,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/a4137810-cf03-4060-a603-a796427fe8e2?id_archivo=a4137810-cf03-4060-a603-a796427fe8e2&id_documento=135520ad-d5e5-4c1a-b548-61c75285e714,DEPARTAMENTO DE CIENCIAS BÁSICAS,DISPCD-CB,526,2025,UNLu,29/12/2025
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 525 / 2025,Autorizado,30/12/2025,PROGRAMA (11087) SEMINARIO DE INTEGRACION PROFESIONAL VIGENCIA 2025-2026 PARA LA CARRERA LICENCIATURA EN SISTEMAS DE INFORMACION,4,DISPCD-CB_525_2025.pdf,,a84c621d-3918-4f65-8f83-775019226645,8726090a-0ff0-47a7-ad6a-5af553e04e43,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/a84c621d-3918-4f65-8f83-775019226645?id_archivo=a84c621d-3918-4f65-8f83-775019226645&id_documento=8726090a-0ff0-47a7-ad6a-5af553e04e43,DEPARTAMENTO DE CIENCIAS BÁSICAS,DISPCD-CB,525,2025,UNLu,29/12/2025
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 524 / 2025,Autorizado,30/12/2025,PROGRAMA (13909) FISICA II VIGENCIA 2025-2026 PARA LAS CARRERAS INGENIERIA EN ALIMENTOS E INGENIERIA INDUSTRIAL,5,DISPCD-CB_524_2025.pdf,,c69f4ce1-25c6-4a0f-9cf5-bf64d9becf6f,d98dbb62-63da-4d3e-9f28-65b827574e2c,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/c69f4ce1-25c6-4a0f-9cf5-bf64d9becf6f?id_archivo=c69f4ce1-25c6-4a0f-9cf5-bf64d9becf6f&id_documento=d98dbb62-63da-4d3e-9f28-65b827574e2c,DEPARTAMENTO DE CIENCIAS BÁSICAS,DISPCD-CB,524,2025,UNLu,29/12/2025
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 523 / 2025,Autorizado,30/12/2025,PROGRAMA (13017) INTRODUCCION A LA QUIMICA VIGENCIA 2025-2026 PARA LAS CARRERAS INGENIERIA EN ALIMENTOS - INGENIERIA INDUSTRIAL Y PROFESORADO UNIVERSITARIO EN QUIMICA,6,DISPCD-CB_523_2025.pdf,,49d56c89-e62a-46d3-8308-a509666a2a68,fbf61550-6bdd-4132-8128-232a616a46ce,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/49d56c89-e62a-46d3-8308-a509666a2a68?id_archivo=49d56c89-e62a-46d3-8308-a509666a2a68&id_documento=fbf61550-6bdd-4132-8128-232a616a46ce,DEPARTAMENTO DE CIENCIAS BÁSICAS,DISPCD-CB,523,2025,UNLu,29/12/2025
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 522 / 2025,Autorizado,30/12/2025,PROGRAMA (15907) ANALISIS FUNCIONAL VIGENCIA 2025-2026 PARA LA CARRERA LICENCIATURA EN MATEMATICA,7,DISPCD-CB_522_2025.pdf,,f46d4faa-a31e-4638-b7ff-e5a53c8216b1,2021825e-b034-49bc-839d-275d39e67d72,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/f46d4faa-a31e-4638-b7ff-e5a53c8216b1?id_archivo=f46d4faa-a31e-4638-b7ff-e5a53c8216b1&id_documento=2021825e-b034-49bc-839d-275d39e67d72,DEPARTAMENTO DE CIENCIAS BÁSICAS,DISPCD-CB,522,2025,UNLu,29/12/2025
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 521 / 2025,Autorizado,30/12/2025,PROGRAMA (15908) GEOMETRIA DIFERENCIAL VIGENCIA 2025-2026 PARA LA CARRERA LICENCIATURA EN MATEMATICA,8,DISPCD-CB_521_2025.pdf,,66535c85-3288-47db-86e8-f62559321e42,d7676643-2d9d-40ea-90df-95d4bb633bc8,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/66535c85-3288-47db-86e8-f62559321e42?id_archivo=66535c85-3288-47db-86e8-f62559321e42&id_documento=d7676643-2d9d-40ea-90df-95d4bb633bc8,DEPARTAMENTO DE CIENCIAS BÁSICAS,DISPCD-CB,521,2025,UNLu,29/12/2025
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 520 / 2025,Autorizado,30/12/2025,PROGRAMA (15909) MODELOS MATEMATICOS VIGENCIA 2025-2026 PARA LA CARRERA LICENCIATURA EN MATEMATICA,9,DISPCD-CB_520_2025.pdf,,c63789a9-be4a-49eb-abf9-38135ccf2540,1d26389c-40d2-45f5-bb07-895e2b5500df,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/c63789a9-be4a-49eb-abf9-38135ccf2540?id_archivo=c63789a9-be4a-49eb-abf9-38135ccf2540&id_documento=1d26389c-40d2-45f5-bb07-895e2b5500df,DEPARTAMENTO DE CIENCIAS BÁSICAS,DISPCD-CB,520,2025,UNLu,29/12/2025
DISPOSICIÓN CONSEJO DIRECTIVO DEPARTAMENTAL DE CIENCIAS BÁSICAS,DISPCD-CB : 519 / 2025,Autorizado,30/12/2025,PROGRAMA ACTIVIDAD ACADEMICA (15910) TALLER DE TRABAJO DE INVESTIGACION FINAL VIGENCIA 2025-2026 PARA LA CARRERA LICENCIATURA EN MATEMATICA,10,DISPCD-CB_519_2025.pdf,,95dd0163-a4a7-43d4-aca3-6478b3568d7e,8f1f671c-994d-4370-b1c0-564f194a5847,https://portal.unlu.edu.ar/sudocu/api/archivos/publico/95dd0163-a4a7-43d4-aca3-6478b3568d7e?id_archivo=95dd0163-a4a7-43d4-aca3-6478b3568d7e&id_documento=8f1f671c-994d-4370-b1c0-564f194a5847,DEPARTAMENTO DE CIENCIAS BÁSICAS,DISPCD-CB,519,2025,UNLu,29/12/2025
